"","HGNC.ID"
"594","HGNC:29379"
"595","HGNC:10256"
"596","HGNC:28559"
"597","HGNC:29314"
"598","HGNC:25577"
"599","HGNC:6190"
"600","HGNC:363"
"601","HGNC:29477"
"602","HGNC:8781"
"603","HGNC:25412"
"604","HGNC:26882"
"605","HGNC:6088"
"606","HGNC:26252"
"607","HGNC:29657"
"608","HGNC:32044"
"609","HGNC:5972"
"610","HGNC:17860"
"611","HGNC:4095"
"612","HGNC:19663"
"613","HGNC:687"
"614","HGNC:30238"
"615","HGNC:22949"
"616","HGNC:18531"
"617","HGNC:26004"
"618","HGNC:10782"
"619","HGNC:25374"
"620","HGNC:4906"
"621","HGNC:9595"
"622","HGNC:13058"
"623","HGNC:17302"
"624","HGNC:28318"
"625","HGNC:3825"
"626","HGNC:25255"
"627","HGNC:25346"
"628","HGNC:2419"
"629","HGNC:24757"
"630","HGNC:28838"
"631","HGNC:28524"
"632","HGNC:9796"
"633","HGNC:7327"
"634","HGNC:19769"
"635","HGNC:19343"
"636","HGNC:19342"
"637","HGNC:8965"
"638","HGNC:365"
"639","HGNC:24523"
"640","HGNC:20059"
"641","HGNC:24741"
"642","HGNC:4004"
"643","HGNC:14886"
"644","HGNC:18177"
"645","HGNC:9600"
"646","HGNC:17817"
"647","HGNC:16938"
"648","HGNC:20822"
"649","HGNC:18582"
"650","HGNC:26242"
"651","HGNC:9381"
"652","HGNC:24582"
"653","HGNC:28875"
"654","HGNC:30350"
"655","HGNC:4408"
"656","HGNC:14682"
"657","HGNC:2496"
"658","HGNC:16509"
"659","HGNC:14298"
"660","HGNC:13357"
"661","HGNC:30711"
"662","HGNC:13358"
"663","HGNC:25841"
"664","HGNC:24871"
"665","HGNC:2715"
"666","HGNC:2654"
"667","HGNC:26089"
"668","HGNC:20821"
"669","HGNC:29225"
"670","HGNC:2016"
"671","HGNC:2015"
"672","HGNC:10833"
"673","HGNC:17705"
"674","HGNC:5193"
"675","HGNC:6644"
"676","HGNC:9406"
"677","HGNC:4648"
"678","HGNC:33238"
"679","HGNC:25073"
"680","HGNC:4184"
"681","HGNC:4182"
"682","HGNC:4183"
"683","HGNC:29606"
"684","HGNC:20480"
"685","HGNC:19895"
"686","HGNC:25395"
"687","HGNC:30692"
"688","HGNC:25075"
"689","HGNC:16992"
"690","HGNC:14104"
"691","HGNC:954"
"692","HGNC:1745"
"693","HGNC:23758"
"694","HGNC:42937"
"695","HGNC:21019"
"696","HGNC:29192"
"697","HGNC:24032"
"698","HGNC:25791"
"699","HGNC:3501"
"700","HGNC:32213"
"701","HGNC:29535"
"702","HGNC:24251"
"703","HGNC:30370"
"704","HGNC:3017"
"705","HGNC:20851"
"706","HGNC:973"
"707","HGNC:24013"
"708","HGNC:4312"
"709","HGNC:30207"
"710","HGNC:3541"
"711","HGNC:28689"
"712","HGNC:2157"
"713","HGNC:26477"
"714","HGNC:21393"
"715","HGNC:17662"
"716","HGNC:14971"
"717","HGNC:31703"
"718","HGNC:23496"
"719","HGNC:15846"
"720","HGNC:27622"
"721","HGNC:23363"
"722","HGNC:25502"
"723","HGNC:28228"
"724","HGNC:17981"
"725","HGNC:12663"
"726","HGNC:3516"
"727","HGNC:19306"
"728","HGNC:24270"
"729","HGNC:3165"
"730","HGNC:17990"
"731","HGNC:18666"
"732","HGNC:478"
"733","HGNC:477"
"734","HGNC:474"
"735","HGNC:475"
"736","HGNC:476"
"737","HGNC:18241"
"738","HGNC:12659"
"739","HGNC:26550"
